rank,cca3,country,continent,2023 population,2022 population,2020 population,2015 population,2010 population,2000 population,1990 population,1980 population,1970 population,area (km²),density (km²),growth rate,world percentage,new_feature
1.0,IND,INDIA,asia,1428627663.0,1417173173.0,1396387127.0,1322866505.0,1240613620.0,1059633675.0,870452165.0,696828385.0,557501301.0,1.7631179083945048,481.0,0.81%,17.85%,2845800836.0
2.0,CHN,CHINA,asia,1425671352.0,1425887337.0,1424929781.0,1393715448.0,1348191368.0,1264099069.0,1153704252.0,982372466.0,822534450.0,,,-0.02%,17.81%,2851558689.0
3.0,USA,"UNITED,STATES",north america,339996563.0,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,5.603219055915581,,0.50%,4.25%,678286420.0
4.0,IDN,INDONESIA,asia,277534122.0,275501339.0,271857970.0,259091970.0,244016173.0,214072421.0,182159874.0,148177096.0,115228394.0,,,0.74%,3.47%,553035461.0
5.0,PAK,PAKISTAN,asia,,235824862.0,227196741.0,210969298.0,194454498.0,154369924.0,115414069.0,80624057.0,59290872.0,,,1.98%,3.00%,
6.0,NGA,NIGERIA,africa,223804632.0,218541212.0,208327405.0,183995785.0,160952853.0,122851984.0,95214257.0,72951439.0,55569264.0,0.2713700464753051,246.0,2.41%,2.80%,442345844.0
7.0,BRA,BRAZIL,south america,216422446.0,215313498.0,213196304.0,205188205.0,196353492.0,175873720.0,150706446.0,122288383.0,96369875.0,,,0.52%,2.70%,431735944.0
8.0,BGD,BANGLADESH,asia,172954319.0,171186372.0,167420951.0,,148391139.0,129193327.0,107147651.0,,67541860.0,,1329.0,1.03%,2.16%,344140691.0
9.0,RUS,RUSSIA,europe,144444359.0,144713314.0,145617329.0,,143242599.0,146844839.0,148005704.0,,130093010.0,10.478668653209521,9.0,-0.19%,1.80%,289157673.0
10.0,MEX,MEXICO,north america,128455567.0,127504125.0,125998302.0,,112532401.0,,81720428.0,67705186.0,50289306.0,0.9280706217928004,66.0,0.75%,1.60%,255959692.0
11.0,ETH,ETHIOPIA,africa,126527060.0,123379924.0,117190911.0,,89237791.0,,47878073.0,34945469.0,28308246.0,0.3852991938510369,112.0,2.55%,1.58%,249906984.0
12.0,JPN,JAPAN,asia,123294513.0,123951692.0,125244761.0,127250933.0,128105431.0,126803861.0,123686321.0,117624196.0,105416839.0,-0.07309441381580481,338.0,-0.53%,1.54%,247246205.0
13.0,PHL,PHILIPPINES,asia,117337368.0,115559009.0,112190977.0,103031365.0,94636700.0,77958223.0,61558898.0,48419546.0,37435586.0,-0.09554615243381387,394.0,1.54%,1.47%,232896377.0
14.0,EGY,EGYPT,africa,112716598.0,110990103.0,107465134.0,97723799.0,87252413.0,71371371.0,57214630.0,43748556.0,34781986.0,0.32102425278674757,113.0,1.56%,1.41%,223706701.0
15.0,COD,"DR,CONGO",africa,,99010212.0,92853164.0,78656904.0,66391257.0,48616317.0,35987541.0,26708686.0,20151733.0,1.1681837528773757,45.0,3.29%,1.28%,
16.0,VNM,VIETNAM,asia,,98186856.0,96648685.0,92191398.0,87411012.0,79001142.0,66912613.0,52968270.0,41928849.0,-0.1025769537926479,315.0,0.68%,1.23%,
17.0,IRN,IRAN,asia,89172767.0,,87290193.0,81790841.0,75373855.0,65544383.0,55793629.0,38520664.0,28449705.0,0.7285374763268507,55.0,0.70%,1.11%,
18.0,TUR,TURKEY,asia,85816199.0,85341241.0,84135428.0,79646178.0,,64113547.0,54324142.0,44089069.0,35540990.0,0.18288961066912207,110.0,0.56%,1.07%,171157440.0
19.0,DEU,GERMANY,europe,83294633.0,83369843.0,83328988.0,82073226.0,81325090.0,81551677.0,79370196.0,77786703.0,78294583.0,-0.0862308612698475,238.0,-0.09%,1.04%,166664476.0
20.0,THA,THAILAND,asia,71801279.0,71697030.0,,70294397.0,68270489.0,63066603.0,55228410.0,45737753.0,35791728.0,0.012220552138846841,141.0,0.15%,0.90%,143498309.0
21.0,GBR,"UNITED,KINGDOM",europe,67736802.0,67508936.0,67059474.0,,,58850043.0,57210442.0,56326328.0,55650166.0,-0.15830840784536773,280.0,0.34%,0.85%,135245738.0
22.0,TZA,TANZANIA,africa,67438106.0,65497748.0,61704518.0,52542823.0,45110527.0,34463704.0,26206012.0,19297659.0,13618192.0,0.28482392441884546,76.0,2.96%,0.84%,132935854.0
23.0,FRA,FRANCE,europe,64756584.0,64626628.0,64480053.0,63809769.0,62444567.0,58665453.0,56412897.0,53713830.0,50523586.0,0.03656425220320578,118.0,0.20%,0.81%,129383212.0
24.0,ZAF,"SOUTH,AFRICA",africa,60414495.0,59893885.0,58801927.0,55876504.0,51784921.0,46813266.0,39877570.0,29463549.0,22368306.0,0.4589689414703,50.0,0.87%,0.75%,120308380.0
25.0,ITA,ITALY,europe,58870762.0,59037474.0,59500579.0,60232906.0,59822450.0,56966397.0,56756561.0,56329482.0,53324036.0,-0.12143093650483944,199.0,-0.28%,0.74%,117908236.0
26.0,KEN,KENYA,africa,55100586.0,54027487.0,51985780.0,46851488.0,41517895.0,30851606.0,23162269.0,16187124.0,11473087.0,0.05465842117910471,97.0,1.99%,0.69%,109128073.0
27.0,MMR,MYANMAR,asia,54577997.0,54179306.0,53423198.0,51483949.0,49390988.0,45538332.0,40099553.0,33465781.0,27284112.0,0.11537473295854836,84.0,0.74%,0.68%,108757303.0
